S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE
000001.SZ,平安银行,19910403,null
000002.SZ,万科A,19910129,null
000003.SZ,PT金田A,19910703,20020614
000004.SZ,国华网安,19901201,null
000005.SZ,ST星源,19901210,20240426
000006.SZ,深振业A,19920427,null
000007.SZ,全新好,19920413,null
000008.SZ,神州高铁,19920507,null
000009.SZ,中国宝安,19910625,null
000010.SZ,美丽生态,19951027,null
000011.SZ,深物业A,19920330,null
000012.SZ,南玻A,19920228,null
000013.SZ,*ST石化A,19920506,20040920
000014.SZ,沙河股份,19920602,null
000015.SZ,PT中浩A,19920625,20011022
000016.SZ,深康佳A,19920327,null
000017.SZ,深中华A,19920331,null
000018.SZ,神城A退,19920616,20200107
000019.SZ,深粮控股,19921012,null
000020.SZ,深华发A,19920428,null
000021.SZ,深科技,19940202,null
000023.SZ,*ST深天,19930429,20240902
000024.SZ,招商地产,19930607,20151230
000025.SZ,特力A,19930621,null
000026.SZ,飞亚达,19930603,null
000027.SZ,深圳能源,19930903,null
000028.SZ,国药一致,19930809,null
000029.SZ,深深房A,19930915,null
000030.SZ,富奥股份,19930929,null
000031.SZ,大悦城,19931008,null
000032.SZ,深桑达A,19931028,null
000033.SZ,新都退,19940103,20170707
000034.SZ,神州数码,19940509,null
000035.SZ,中国天楹,19940408,null
000036.SZ,华联控股,19940617,null
000037.SZ,深南电A,19940701,null
000038.SZ,大通退,19940808,20230712
000039.SZ,中集集团,19940408,null
000040.SZ,ST旭蓝,19940808,null
000042.SZ,中洲控股,19940921,null
000045.SZ,深纺织A,19940815,null
000046.SZ,*ST泛海,19940912,20240207
000047.SZ,ST中侨,19941021,20030530
000048.SZ,京基智农,19941101,null
000049.SZ,德赛电池,19950320,null
000050.SZ,深天马A,19950315,null
000055.SZ,方大集团,19960415,null
000056.SZ,皇庭国际,19960708,null
000058.SZ,深赛格,19961226,null
000059.SZ,华锦股份,19970130,null
000060.SZ,中金岭南,19970123,null
000061.SZ,农产品,19970110,null
000062.SZ,深圳华强,19970130,null
000063.SZ,中兴通讯,19971118,null
000065.SZ,北方国际,19980605,null
000066.SZ,中国长城,19970626,null
000068.SZ,华控赛格,19970611,null
000069.SZ,华侨城A,19970910,null
000070.SZ,ST特信,20000511,null
000078.SZ,海王生物,19981218,null
000088.SZ,盐田港,19970728,null
000089.SZ,深圳机场,19980420,null
000090.SZ,天健集团,19990721,null
000096.SZ,广聚能源,20000724,null
000099.SZ,中信海直,20000731,null
000100.SZ,TCL科技,20040130,null
000150.SZ,*ST宜康,20000807,20230609
000151.SZ,中成股份,20000906,null
000153.SZ,丰原药业,20000920,null
000155.SZ,川能动力,20000926,null
000156.SZ,华数传媒,20000906,null
000157.SZ,中联重科,20001012,null
000158.SZ,常山北明,20000724,null
000159.SZ,国际实业,20000926,null
000166.SZ,申万宏源,20150126,null
000301.SZ,东方盛虹,20000529,null
000333.SZ,美的集团,20130918,null
000338.SZ,潍柴动力,20070430,null
000400.SZ,许继电气,19970418,null
000401.SZ,冀东水泥,19960614,null
000402.SZ,金融街,19960626,null
000403.SZ,派林生物,19960628,null
000404.SZ,长虹华意,19960619,null
000405.SZ,ST鑫光,19960620,20040319
