S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE,code
000001.SZ,平安银行,19910403,,000001
000002.SZ,万 科 Ａ,19910129,,000002
000003.SZ,PT金田Ａ,19910703,20020614.0,000003
000004.SZ,ST 国 华,19901201,,000004
000005.SZ,ST 星 源,19901210,,000005
000006.SZ,深振业Ａ,19920427,,000006
000007.SZ,全 新 好,19920413,,000007
000008.SZ,神州高铁,19920507,,000008
000009.SZ,中国宝安,19910625,,000009
000010.SZ,美丽生态,19951027,,000010
000011.SZ,深物业Ａ,19920330,,000011
000012.SZ,南 玻 Ａ,19920228,,000012
000013.SZ,*ST石化A,19920506,20040920.0,000013
000014.SZ,沙河股份,19920602,,000014
000015.SZ,PT中浩Ａ,19920625,20011022.0,000015
000016.SZ,深康佳Ａ,19920327,,000016
000017.SZ,深中华Ａ,19920331,,000017
000018.SZ,神城Ａ退,19920616,20200107.0,000018
000019.SZ,深粮控股,19921012,,000019
000020.SZ,深华发Ａ,19920428,,000020
000021.SZ,深 科 技,19940202,,000021
000023.SZ,深天地Ａ,19930429,,000023
000024.SZ,招商地产,19930607,20151230.0,000024
000025.SZ,特 力 Ａ,19930621,,000025
000026.SZ,飞 亚 达,19930603,,000026
000027.SZ,深圳能源,19930903,,000027
000028.SZ,国药一致,19930809,,000028
000029.SZ,深深房Ａ,19930915,,000029
000030.SZ,富奥股份,19930929,,000030
000031.SZ,大 悦 城,19931008,,000031
000032.SZ,深桑达Ａ,19931028,,000032
000033.SZ,新 都 退,19940103,20170707.0,000033
000034.SZ,神州数码,19940509,,000034
000035.SZ,中国天楹,19940408,,000035
000036.SZ,华联控股,19940617,,000036
000037.SZ,深南电Ａ,19940701,,000037
000038.SZ,*ST 大通,19940808,,000038
000039.SZ,中集集团,19940408,,000039
000040.SZ,东旭蓝天,19940808,,000040
000042.SZ,中洲控股,19940921,,000042
000045.SZ,深纺织Ａ,19940815,,000045
000046.SZ,泛海控股,19940912,,000046
000047.SZ,ST 中 侨,19941021,20030530.0,000047
000048.SZ,京基智农,19941101,,000048
000049.SZ,德赛电池,19950320,,000049
000050.SZ,深天马Ａ,19950315,,000050
000055.SZ,方大集团,19960415,,000055
000056.SZ,皇庭国际,19960708,,000056
000058.SZ,深 赛 格,19961226,,000058
000059.SZ,华锦股份,19970130,,000059
000060.SZ,中金岭南,19970123,,000060
000061.SZ,农 产 品,19970110,,000061
000062.SZ,深圳华强,19970130,,000062
000063.SZ,中兴通讯,19971118,,000063
000065.SZ,北方国际,19980605,,000065
000066.SZ,中国长城,19970626,,000066
000068.SZ,华控赛格,19970611,,000068
000069.SZ,华侨城Ａ,19970910,,000069
000070.SZ,特发信息,20000511,,000070
000078.SZ,海王生物,19981218,,000078
000088.SZ,盐 田 港,19970728,,000088
000089.SZ,深圳机场,19980420,,000089
000090.SZ,天健集团,19990721,,000090
000096.SZ,广聚能源,20000724,,000096
000099.SZ,中信海直,20000731,,000099
000100.SZ,TCL 科技,20040130,,000100
000150.SZ,*ST 宜康,20000807,,000150
000151.SZ,中成股份,20000906,,000151
000153.SZ,丰原药业,20000920,,000153
000155.SZ,川能动力,20000926,,000155
000156.SZ,华数传媒,20000906,,000156
000157.SZ,中联重科,20001012,,000157
000158.SZ,常山北明,20000724,,000158
000159.SZ,国际实业,20000926,,000159
000166.SZ,申万宏源,20150126,,000166
000301.SZ,东方盛虹,20000529,,000301
000333.SZ,美的集团,20130918,,000333
000338.SZ,潍柴动力,20070430,,000338
000400.SZ,许继电气,19970418,,000400
000401.SZ,冀东水泥,19960614,,000401
000402.SZ,金 融 街,19960626,,000402
000403.SZ,派林生物,19960628,,000403
000404.SZ,长虹华意,19960619,,000404
000405.SZ,ST 鑫 光,19960620,20040319.0,000405
000406.SZ,石油大明,19960628,20060421.0,000406
000407.SZ,胜利股份,19960703,,000407
000408.SZ,藏格矿业,19960628,,000408
000409.SZ,云鼎科技,19960627,,000409
000410.SZ,*ST 沈机,19960718,,000410
000411.SZ,英特集团,19960716,,000411
000412.SZ,ST 五 环,19960715,20030919.0,000412
000413.SZ,东旭光电,19960925,,000413
000415.SZ,渤海租赁,19960716,,000415
000416.SZ,民生控股,19960719,,000416
000417.SZ,合肥百货,19960812,,000417
000418.SZ,小天鹅Ａ,19970328,20190621.0,000418
000419.SZ,通程控股,19960816,,000419
000420.SZ,吉林化纤,19960802,,000420
000421.SZ,南京公用,19960806,,000421
000422.SZ,湖北宜化,19960815,,000422
000423.SZ,东阿阿胶,19960729,,000423
000425.SZ,徐工机械,19960828,,000425
000426.SZ,兴业矿业,19960828,,000426
000428.SZ,华天酒店,19960808,,000428
000429.SZ,粤高速Ａ,19980220,,000429
000430.SZ,张 家 界,19960829,,000430
000488.SZ,晨鸣纸业,20001120,,000488
000498.SZ,山东路桥,19970609,,000498
000501.SZ,武商集团,19921120,,000501
000502.SZ,绿 景 退,19921123,20220627.0,000502
000503.SZ,国新健康,19921130,,000503
000504.SZ,南华生物,19921208,,000504
000505.SZ,京粮控股,19921221,,000505
000506.SZ,中润资源,19930312,,000506
000507.SZ,珠 海 港,19930326,,000507
000508.SZ,琼民源Ａ,19930430,19990712.0,000508
000509.SZ,华塑控股,19930507,,000509
000510.SZ,新 金 路,19930507,,000510
000511.SZ,烯 碳 退,19930518,20180718.0,000511
000513.SZ,丽珠集团,19931028,,000513
000514.SZ,渝 开 发,19930712,,000514
